wku,title,abstract,claims,descriptions
10526872,0,0,0,0
10526874,0,0,0,0
10526876,0,0,0,0
10526879,0,0,0,0
10526881,0,0,0,0
10526883,0,0,0,0
10526885,0,0,0,0
10526886,0,0,0,0
10526887,0,0,0,0
10526888,0,0,0,0
10526890,0,0,0,0
10526894,0,0,0,0
10526897,0,0,0,0
10526898,0,0,0,0
10526899,0,0,0,0
10526905,0,0,0,0
10526908,0,0,0,0
10526909,0,0,0,0
10526910,0,0,0,0
10526911,0,0,0,0
10526912,0,0,0,0
10526913,0,0,0,0
10526915,0,0,0,0
10526916,0,0,0,0
10526917,0,0,0,0
10526919,0,0,0,0
10526921,0,0,0,0
10526928,0,0,0,0
10526958,0,0,0,0
10526971,0,0,0,0
10526975,0,0,0,0
10526976,0,0,0,0
10526992,0,1,9,40
10526996,0,0,0,0
10526998,0,0,0,0
10527011,0,0,0,0
10527018,0,0,0,0
10527023,0,0,0,0
10527025,0,0,0,0
10527037,0,0,0,0
10527038,0,0,0,0
10527042,0,0,0,0
10527049,0,0,0,0
10527056,0,0,0,0
10527060,0,0,0,0
10527102,0,0,0,0
10527103,0,0,0,0
10527106,0,0,0,0
10527107,0,0,0,0
10527111,0,0,0,0
10527129,0,0,0,0
10527131,0,0,0,0
10527134,0,0,0,0
10527140,0,0,0,0
10527144,0,0,0,0
10527145,0,0,0,0
10527147,0,0,0,0
10527151,0,0,0,0
10527158,0,0,0,0
10527202,0,0,0,0
10527210,0,0,0,0
10527252,0,0,0,0
10527260,0,0,0,0
10527328,0,0,0,0
10527355,0,0,0,0
10527362,0,0,0,0
10527365,0,0,0,0
10527370,0,0,0,0
10527407,0,0,0,0
10527429,0,0,0,0
10527430,0,0,0,0
10527431,0,0,0,0
10527433,0,0,2,9
10527437,0,0,3,20
10527439,0,0,0,0
10527442,0,0,0,0
10527443,0,0,0,0
10527449,0,0,0,0
10527453,0,0,0,0
10527464,0,0,0,0
10527468,0,0,0,0
10527499,0,0,0,0
10527500,0,0,0,0
10527503,0,0,0,0
10527517,0,0,0,0
10527519,0,0,0,0
10527524,0,0,0,0
10527534,0,0,0,0
10527535,0,0,0,0
10527536,0,0,0,0
10527552,0,0,0,0
10527558,0,0,0,0
10527565,0,0,0,0
10527567,0,0,0,0
10527593,0,0,0,0
10527601,0,0,0,0
10527635,0,0,0,0
10527649,0,0,0,0
10527650,0,0,0,0
10527651,0,0,0,0
10527653,0,0,0,0
10527659,0,0,0,0
10527661,0,0,0,0
10527663,0,0,0,0
10527665,0,0,0,0
10527670,0,0,0,0
10527673,0,0,0,0
10527674,0,0,0,0
10527680,0,0,0,0
10527694,0,0,0,0
10527705,0,0,0,0
10527710,0,0,0,0
10527713,0,0,0,0
10527722,0,0,0,0
10527724,0,0,0,0
10527726,0,0,0,0
10527744,0,0,0,0
10527745,0,0,0,0
10527746,0,0,0,0
10527748,0,0,0,0
10527749,0,0,0,0
10527752,0,0,0,0
10527753,0,0,0,0
10527761,0,0,0,0
10527765,0,0,0,0
10527784,0,0,0,0
10527787,0,0,0,0
10527790,0,0,0,0
10527796,0,0,0,0
10527843,0,0,0,2
10527852,0,0,0,0
10527854,0,0,0,0
10527857,0,0,0,0
10527858,0,0,0,0
10527885,0,0,0,0
10527932,0,0,0,0
10527960,0,0,0,0
10527961,0,0,0,0
10527964,0,0,0,0
10527982,0,0,0,0
10527990,0,0,0,0
10528021,0,0,0,0
10528033,0,0,0,0
10528038,0,0,0,0
10528039,0,0,0,0
10528043,0,0,0,0
10528054,0,0,0,1
10528055,0,0,0,0
10528056,0,0,0,0
10528057,0,0,3,6
10528061,0,0,0,0
10528062,0,0,0,0
10528070,0,0,0,0
10528075,0,0,0,0
10528076,0,0,0,0
10528077,0,0,0,0
10528081,0,0,0,0
10528083,0,0,0,0
10528088,0,0,0,0
10528090,0,0,0,0
10528092,0,0,0,0
10528093,0,0,0,0
10528096,0,0,0,0
10528097,0,0,0,0
10528098,0,0,0,0
10528099,0,0,0,0
10528100,0,0,0,0
10528102,0,0,0,0
10528103,0,0,0,0
10528111,0,0,0,0
10528113,0,0,0,0
10528114,0,0,0,0
10528115,0,0,0,0
10528116,0,0,0,0
10528117,0,0,0,0
10528118,0,0,0,0
10528119,0,0,0,0
10528122,0,0,0,0
10528127,0,0,0,0
10528128,0,0,0,0
10528132,0,0,0,0
10528133,0,0,0,0
10528138,0,0,0,0
10528139,0,0,0,0
10528143,0,0,0,0
10528144,0,0,0,0
10528147,0,0,0,0
10528151,0,0,0,0
10528152,0,0,0,0
10528155,0,0,0,0
10528159,0,0,0,0
10528172,0,0,0,0
10528207,0,0,0,0
10528208,0,0,0,0
10528211,0,0,0,0
10528214,0,0,0,0
10528215,0,0,0,0
10528221,0,0,0,0
10528228,0,0,0,0
10528231,0,0,0,0
10528232,0,0,0,0
10528237,0,0,0,0
10528240,0,0,0,0
10528242,0,0,0,0
10528243,0,0,0,0
10528244,0,0,0,0
10528253,0,0,0,0
10528256,0,0,0,0
10528258,0,0,0,7
10528261,0,0,0,0
10528265,0,0,0,0
10528266,0,0,0,0
10528269,0,0,0,0
10528271,0,0,0,1
10528272,0,0,0,0
10528273,0,0,0,0
10528276,0,0,0,0
10528277,0,0,0,0
10528281,0,0,0,0
10528288,0,0,0,0
10528293,0,0,0,0
10528294,0,0,0,0
10528295,0,0,0,0
10528296,0,0,0,0
10528315,0,0,0,0
10528316,0,0,0,0
10528319,0,0,0,0
10528320,0,0,0,0
10528321,0,0,0,1
10528323,0,0,0,0
10528326,0,0,0,0
10528327,0,0,0,0
10528328,0,0,0,1
10528329,0,0,0,45
10528330,0,0,0,0
10528331,0,0,0,0
10528332,0,0,0,0
10528333,0,0,0,0
10528336,0,0,0,0
10528337,0,0,0,0
10528339,0,0,0,0
10528340,0,0,0,0
10528342,0,0,0,0
10528344,0,0,0,0
10528345,0,0,0,0
10528346,0,0,0,1
10528348,0,0,0,0
10528349,0,0,0,0
10528351,0,0,0,0
10528352,0,0,0,0
10528353,0,0,0,0
10528354,0,0,0,0
10528356,0,0,0,0
10528358,0,0,0,0
10528359,0,0,0,0
10528361,0,0,0,0
10528363,0,0,0,0
10528366,0,0,0,0
10528367,0,0,0,0
10528368,0,0,0,0
10528372,0,0,0,0
10528373,0,0,0,0
10528374,0,0,0,0
10528375,0,0,0,0
10528376,0,0,0,0
10528381,0,0,0,0
10528382,0,0,0,0
10528385,0,0,0,0
10528387,0,0,0,0
10528390,0,0,0,0
10528392,0,0,0,0
10528398,0,0,0,1
10528399,0,0,0,0
10528400,0,0,0,0
10528401,0,0,0,0
10528404,0,0,0,0
10528405,0,0,0,0
10528408,0,0,0,0
10528410,0,0,0,0
10528412,0,0,0,0
10528413,0,0,0,0
10528415,0,0,0,0
10528416,0,0,0,0
10528418,0,0,0,0
10528423,0,0,0,0
10528424,0,0,0,0
10528426,0,0,0,0
10528427,0,0,0,0
10528431,0,0,0,0
10528435,0,0,0,0
10528437,0,0,0,0
10528441,0,0,0,0
10528444,0,0,0,0
10528446,0,0,0,0
10528447,0,0,0,0
10528452,0,0,0,0
10528453,0,0,0,7
10528455,0,0,0,0
10528460,0,0,0,0
10528462,0,0,0,0
10528463,0,0,0,0
10528470,0,0,0,0
10528472,0,0,0,0
10528473,0,0,0,0
10528474,0,0,0,0
10528475,0,0,0,0
10528476,0,0,0,0
10528477,0,0,0,0
10528482,0,0,0,0
10528483,0,0,0,0
10528485,0,0,0,0
10528486,0,0,0,1
10528487,0,0,0,0
10528489,0,0,1,1
10528493,0,0,0,0
10528494,0,0,0,0
10528502,0,0,0,0
10528503,0,0,0,0
10528505,0,0,0,0
10528506,0,0,0,0
10528508,0,0,0,0
10528509,0,0,0,0
10528513,0,0,0,0
10528515,0,0,0,0
10528517,0,0,0,0
10528520,0,0,0,1
10528523,0,0,0,0
10528524,0,0,0,0
10528525,0,0,0,0
10528526,0,0,0,0
10528527,0,0,0,0
10528528,0,0,0,1
10528530,0,0,0,0
10528534,0,0,0,0
10528535,0,0,0,0
10528536,0,0,0,0
10528537,0,0,0,0
10528538,0,0,0,0
10528539,0,0,0,0
10528542,0,0,0,13
10528544,0,0,0,0
10528547,0,0,0,0
10528549,0,0,0,0
10528550,0,0,0,0
10528551,0,0,0,0
10528553,0,0,0,0
10528554,0,0,0,0
10528558,0,0,0,0
10528561,0,0,0,0
10528562,0,0,0,0
10528564,0,0,0,0
10528568,0,0,0,0
10528569,0,0,0,0
10528571,0,0,0,0
10528572,0,0,0,0
10528575,0,0,0,0
10528576,0,1,3,9
10528578,0,0,0,0
10528580,0,0,0,0
10528581,0,0,0,0
10528585,0,0,0,0
10528586,0,0,0,0
10528589,0,0,0,0
10528590,0,0,0,0
10528591,0,0,0,0
10528593,0,0,0,0
10528596,0,0,0,1
10528597,0,0,0,1
10528599,0,0,0,1
10528608,0,0,0,0
10528610,0,0,0,0
10528612,0,0,0,0
10528613,0,0,0,0
10528614,0,0,0,0
10528615,0,0,0,0
10528617,0,0,0,0
10528620,0,0,0,0
10528625,0,0,0,0
10528626,0,0,0,0
10528627,0,0,0,0
10528629,0,0,0,0
10528630,0,0,0,0
10528632,0,0,0,0
10528633,0,0,0,0
10528635,0,0,0,0
10528636,0,0,0,4
10528638,0,0,0,0
10528642,0,0,0,0
10528644,0,0,0,0
10528645,0,0,0,0
10528647,0,0,0,0
10528650,0,0,0,0
10528651,0,0,0,0
10528653,0,0,0,0
10528656,0,0,0,0
10528657,0,0,0,0
10528660,0,0,0,1
10528661,0,0,0,0
10528663,0,0,0,1
10528664,0,0,4,13
10528672,0,0,0,0
10528673,0,0,0,0
10528674,0,0,4,4
10528675,0,0,0,0
10528676,0,0,0,0
10528677,0,0,0,0
10528680,0,0,0,0
10528684,0,0,0,0
10528685,0,0,0,0
10528686,0,0,0,0
10528688,0,0,0,0
10528689,0,0,0,0
10528690,0,0,0,0
10528691,0,0,0,0
10528692,0,0,0,0
10528695,0,0,0,0
10528696,0,0,0,0
10528697,0,0,0,0
10528698,0,0,0,0
10528699,0,0,0,0
10528700,0,0,0,0
10528702,0,0,0,0
10528705,0,0,0,0
10528708,0,0,0,0
10528709,0,0,0,0
10528712,0,0,0,0
10528713,0,0,0,0
10528717,0,0,0,0
10528721,0,0,0,1
10528722,0,0,0,0
10528724,0,0,0,0
10528725,0,0,0,0
10528728,0,0,0,2
10528733,0,0,0,0
10528736,0,0,0,0
10528740,0,0,0,0
10528743,0,0,0,0
10528744,0,0,0,0
10528746,0,0,0,0
10528747,0,0,0,0
10528748,0,0,0,0
10528750,0,0,0,0
10528752,0,0,0,0
10528753,0,0,0,0
10528755,0,0,0,0
10528762,0,0,0,0
10528765,0,0,0,0
10528766,0,0,0,0
10528768,0,0,0,0
10528770,0,0,0,0
10528774,0,0,0,0
10528793,0,0,0,1
10528794,0,0,1,1
10528800,0,0,0,0
10528812,0,0,0,2
10528816,0,0,0,0
10528817,0,0,0,2
10528819,0,1,4,3
10528821,0,0,0,1
10528824,0,0,0,1
10528826,0,0,0,0
10528832,0,0,0,1
10528838,0,0,0,0
10528839,0,0,0,0
10528840,0,0,0,0
10528843,0,0,0,0
10528847,0,0,0,0
10528850,0,0,0,0
10528853,0,0,0,0
10528858,0,0,8,4
10528864,0,0,0,1
10528865,0,0,0,0
10528866,0,0,0,3
10528872,0,0,0,0
10528874,0,0,2,0
10528878,0,0,6,14
10528879,0,0,0,0
10528880,0,0,0,0
10528881,0,0,0,0
10528882,0,0,0,0
10528883,0,0,0,0
10528885,0,0,0,0
10528887,0,0,0,0
10528888,0,0,1,6
10528893,0,0,0,0
10528896,0,0,0,3
10528897,0,0,0,0
10528899,0,0,0,0
10528903,0,0,0,0
10528907,0,2,6,15
10528908,0,0,0,0
10528912,0,0,0,0
10528917,0,0,0,0
10528918,0,0,0,0
10528919,0,0,0,0
10528920,0,0,0,0
10528924,0,0,0,0
10528929,0,0,0,1
10528930,0,0,0,0
10528931,0,0,0,0
10528932,0,0,0,0
10528942,0,0,0,0
10528944,0,0,0,0
10528951,0,0,0,0
10528958,0,0,0,0
10528963,0,0,0,0
10528965,0,0,0,0
10528966,0,0,0,0
10528968,0,0,0,0
10528969,0,0,0,0
10528971,0,0,0,0
10528973,0,0,0,0
10528977,0,0,0,7
10528978,0,0,0,0
10528979,0,0,0,0
10528981,0,0,0,2
10528982,0,0,0,0
10528985,0,0,0,0
10528988,0,0,0,0
10528989,0,0,0,0
10528992,0,0,0,4
10528993,0,0,0,0
10528994,0,0,0,0
10529001,0,0,0,0
10529008,0,0,0,15
10529009,0,0,0,0
10529010,0,0,0,0
10529012,0,0,0,0
10529013,0,0,0,1
10529015,0,0,0,0
10529016,0,0,0,0
10529017,0,0,6,12
10529018,0,0,5,4
10529020,0,0,0,0
10529022,0,0,0,0
10529034,0,0,0,1
10529035,0,0,0,0
10529046,0,0,0,0
10529049,0,0,0,0
10529053,0,0,0,0
10529064,0,0,0,0
